Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,StDev
WR,Justin Jefferson (28792603),Justin Jefferson,28792603,WR/FLEX,8800,TB@MIN 09/10/2023 01:00PM ET,MIN,22.79,20.086,11.315
RB,Christian McCaffrey (28792269),Christian McCaffrey,28792269,RB/FLEX,8700,SF@PIT 09/10/2023 01:00PM ET,SF,21.71,19.138,9.08
RB,Austin Ekeler (28792271),Austin Ekeler,28792271,RB/FLEX,8400,MIA@LAC 09/10/2023 04:25PM ET,LAC,22.22,19.666,8.8
WR,Cooper Kupp (28792605),Cooper Kupp,28792605,WR/FLEX,8400,LAR@SEA 09/10/2023 04:25PM ET,LAR,24.16,19.672,9.65
RB,Nick Chubb (28792273),Nick Chubb,28792273,RB/FLEX,8200,CIN@CLE 09/10/2023 01:00PM ET,CLE,17.85,16.181,7.86
WR,Tyreek Hill (28792607),Tyreek Hill,28792607,WR/FLEX,8200,MIA@LAC 09/10/2023 04:25PM ET,MIA,21.37,20.545,11.83
WR,Ja'Marr Chase (28792609),Ja'Marr Chase,28792609,WR/FLEX,8100,CIN@CLE 09/10/2023 01:00PM ET,CIN,20.71,18.236,11.43
RB,Bijan Robinson (28792275),Bijan Robinson,28792275,RB/FLEX,8000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0,17.316,8
QB,Lamar Jackson (28792178),Lamar Jackson,28792178,QB,8000,HOU@BAL 09/10/2023 01:00PM ET,BAL,21.17,21.922,8.685
RB,Jonathan Taylor (28792277),Jonathan Taylor,28792277,RB/FLEX,7900,JAX@IND 09/10/2023 01:00PM ET,IND,14.13,3.16,0
WR,Davante Adams (28792611),Davante Adams,28792611,WR/FLEX,7900,LV@DEN 09/10/2023 04:25PM ET,LV,21.15,16.129,9.755
RB,Derrick Henry (28792279),Derrick Henry,28792279,RB/FLEX,7800,TEN@NO 09/10/2023 01:00PM ET,TEN,20.8,18.526,8.415
QB,Jalen Hurts (28792179),Jalen Hurts,28792179,QB,7800,PHI@NE 09/10/2023 04:25PM ET,PHI,26.92,21.739,8.54
QB,Justin Fields (28792180),Justin Fields,28792180,QB,7700,GB@CHI 09/10/2023 04:25PM ET,CHI,21.2,21.262,8.775
RB,Josh Jacobs (28792281),Josh Jacobs,28792281,RB/FLEX,7700,LV@DEN 09/10/2023 04:25PM ET,LV,20.43,18.035,8.305
WR,A.J. Brown (28792613),A.J. Brown,28792613,WR/FLEX,7600,PHI@NE 09/10/2023 04:25PM ET,PHI,17.51,15.341,10.805
WR,Keenan Allen (28792615),Keenan Allen,28792615,WR/FLEX,7300,MIA@LAC 09/10/2023 04:25PM ET,LAC,16.64,16.299,9.47
WR,DeVonta Smith (28792617),DeVonta Smith,28792617,WR/FLEX,7200,PHI@NE 09/10/2023 04:25PM ET,PHI,15.72,13.395,9.43
QB,Joe Burrow (28792181),Joe Burrow,28792181,QB,7100,CIN@CLE 09/10/2023 01:00PM ET,CIN,23.08,21.009,8.48
WR,Jaylen Waddle (28792619),Jaylen Waddle,28792619,WR/FLEX,7100,MIA@LAC 09/10/2023 04:25PM ET,MIA,15.91,16.028,11.09
RB,Rhamondre Stevenson (28792283),Rhamondre Stevenson,28792283,RB/FLEX,7000,PHI@NE 09/10/2023 04:25PM ET,NE,15.06,15.491,8.065
WR,DK Metcalf (28792621),DK Metcalf,28792621,WR/FLEX,7000,LAR@SEA 09/10/2023 04:25PM ET,SEA,15.19,14.463,9.97
RB,Travis Etienne Jr. (28792285),Travis Etienne Jr.,28792285,RB/FLEX,6900,JAX@IND 09/10/2023 01:00PM ET,JAX,13.48,16.117,8.72
WR,DeAndre Hopkins (28792623),DeAndre Hopkins,28792623,WR/FLEX,6900,TEN@NO 09/10/2023 01:00PM ET,TEN,17.63,13.237,8.54
QB,Justin Herbert (28792182),Justin Herbert,28792182,QB,6900,MIA@LAC 09/10/2023 04:25PM ET,LAC,18.08,21.36,8.52
RB,Joe Mixon (28792287),Joe Mixon,28792287,RB/FLEX,6800,CIN@CLE 09/10/2023 01:00PM ET,CIN,16.52,14.647,7.86
WR,Tee Higgins (28792625),Tee Higgins,28792625,WR/FLEX,6800,CIN@CLE 09/10/2023 01:00PM ET,CIN,14.14,14.189,10.345
RB,Alvin Kamara (28792289),Alvin Kamara,28792289,RB/FLEX,6700,TEN@NO 09/10/2023 01:00PM ET,NO,14.78,0,0
QB,Tua Tagovailoa (28792183),Tua Tagovailoa,28792183,QB,6700,MIA@LAC 09/10/2023 04:25PM ET,MIA,19.38,18.903,8.26
WR,Tyler Lockett (28792627),Tyler Lockett,28792627,WR/FLEX,6700,LAR@SEA 09/10/2023 04:25PM ET,SEA,15.19,14.487,9.575
RB,J.K. Dobbins (28792291),J.K. Dobbins,28792291,RB/FLEX,6600,HOU@BAL 09/10/2023 01:00PM ET,BAL,11.97,13.839,7.84
WR,Jerry Jeudy (28792629),Jerry Jeudy,28792629,WR/FLEX,6600,LV@DEN 09/10/2023 04:25PM ET,DEN,14.21,14.164,9.825
QB,Trevor Lawrence (28792184),Trevor Lawrence,28792184,QB,6500,JAX@IND 09/10/2023 01:00PM ET,JAX,19.22,19.183,8.37
WR,Calvin Ridley (28792633),Calvin Ridley,28792633,WR/FLEX,6500,JAX@IND 09/10/2023 01:00PM ET,JAX,0,12.47,9.37
RB,Alexander Mattison (28792293),Alexander Mattison,28792293,RB/FLEX,6500,TB@MIN 09/10/2023 01:00PM ET,MIN,4.98,16.557,8.045
WR,Chris Olave (28792631),Chris Olave,28792631,WR/FLEX,6500,TEN@NO 09/10/2023 01:00PM ET,NO,13.95,14.493,10.27
RB,James Conner (28792295),James Conner,28792295,RB/FLEX,6400,ARI@WAS 09/10/2023 01:00PM ET,ARI,15.71,13.28,7.305
WR,Terry McLaurin (28792635),Terry McLaurin,28792635,WR/FLEX,6400,ARI@WAS 09/10/2023 01:00PM ET,WAS,14.18,11.871,9.165
QB,Kirk Cousins (28792185),Kirk Cousins,28792185,QB,6300,TB@MIN 09/10/2023 01:00PM ET,MIN,19.08,19.059,8.23
WR,Mike Evans (28792637),Mike Evans,28792637,WR/FLEX,6300,TB@MIN 09/10/2023 01:00PM ET,TB,15.61,13.304,10.055
RB,Aaron Jones (28792297),Aaron Jones,28792297,RB/FLEX,6300,GB@CHI 09/10/2023 04:25PM ET,GB,15.68,14.534,7.52
TE,Mark Andrews (28793249),Mark Andrews,28793249,TE/FLEX,6200,HOU@BAL 09/10/2023 01:00PM ET,BAL,13.24,13.538,9.455
WR,Michael Pittman Jr. (28792639),Michael Pittman Jr.,28792639,WR/FLEX,6200,JAX@IND 09/10/2023 01:00PM ET,IND,13.97,12.986,8.645
RB,Cam Akers (28792299),Cam Akers,28792299,RB/FLEX,6200,LAR@SEA 09/10/2023 04:25PM ET,LAR,10.15,14.54,7.94
RB,Najee Harris (28792301),Najee Harris,28792301,RB/FLEX,6100,SF@PIT 09/10/2023 01:00PM ET,PIT,13.44,13.333,7.355
WR,DJ Moore (28792641),DJ Moore,28792641,WR/FLEX,6100,GB@CHI 09/10/2023 04:25PM ET,CHI,12.24,10.931,8.975
QB,Geno Smith (28792186),Geno Smith,28792186,QB,6100,LAR@SEA 09/10/2023 04:25PM ET,SEA,19.43,19.59,7.84
